HYDROPHOBICITY
VOLUME
ISOELECTRIC_POINT
POLARITY
CHARGE
HYDROPHILICITY
ACCESSIBLE_SURFACE
REFRACTIVITY
FLEXIBILITY
ALPHA_HELIX
BETA_SHEET
COIL
H_BOND
SIDECHAIN_MASS
VDW_VOLUME
POLAR_SURFACE
ROTATABLE_BONDS
COVALENT_BONDS
AROMATICITY
ALIPHATICITY
